wand_ids;layer;postion[mm];diameters[mm];class;pore_ids_ct;sphericity;volume [mm3]
fit12;2;104.82383727999999;0.370830268;oel;2369;0.64;0.008224891
fit12;2;106.226249695;0.540036619;oel;3600;0.56;0.018377103
fit12;2;106.660905838;0.26239121;oel;3602;0.64;0.00488344
fit12;2;107.13171196;0.326025963;oel;3607;0.63;0.006040026
fit12;2;107.156112671;0.342262149;oel;3625;0.63;0.010281119
fit12;2;107.66040420499999;0.277048826;oel;3643;0.62;0.004883516
fit12;2;107.884283066;0.255452454;oel;1745;0.72;0.003983997
fit12;2;107.979768753;0.360575825;oel;1720;0.65;0.013365411
fit12;2;109.25819397000001;0.208067298;oel;1714;0.64;0.002570353
fit12;2;109.301984787;0.281313568;oel;1918;0.7;0.006682736
fit12;2;110.189029694;0.208075777;oel;4020;0.75;0.003084065
fit12;2;110.637933731;0.2111848;oel;65;0.64;0.002184812
fit12;2;111.125350952;0.214100599;oel;352;0.64;0.002056271
fit12;2;111.572446823;0.439462423;oel;580;0.52;0.007582096
fit12;2;111.848714828;0.236221105;oel;627;0.64;0.003598464
fit12;2;112.26884079;0.584163725;oel;637;0.59;0.030456785
fit12;2;112.304725647;0.233866721;oel;3956;0.61;0.002827268
fit12;2;112.98206329300001;0.342248738;oel;74;0.65;0.013493689
fit12;2;114.23574447600001;0.490573525;oel;78;0.53;0.009895136
fit12;2;114.834003448;0.28989324;oel;1578;0.61;0.003212946
fit12;2;115.381450653;0.353246152;oel;1850;0.52;0.004112403
fit12;2;115.521640778;0.40996933;oel;1879;0.6;0.015292794
fit12;2;115.954605103;0.389670372;oel;1901;0.6;0.011052241
fit12;2;116.11000824;0.342246681;oel;3139;0.54;0.003469919
fit12;2;116.216011047;0.242143944;oel;3344;0.68;0.004112598
fit12;2;116.61831665;0.220662415;oel;3136;0.63;0.002698606
fit12;2;117.058055878;0.356827497;oel;3346;0.63;0.003855404
fit12;2;117.217979431;0.257316023;oel;3180;0.7;0.004112171
fit12;2;117.271278381;0.21409969;oel;3156;0.66;0.002698941
fit12;2;117.506526947;0.234453768;oel;557;0.66;0.003469891
fit12;2;118.510063171;0.419183135;oel;1086;0.51;0.005526115
fit12;2;118.82485199;0.452753782;oel;581;0.62;0.024802979
fit12;2;119.04807663;0.964095533;oel;1064;0.45;0.061942507
fit12;2;119.82742309599999;0.479910314;oel;0;0.68;0.033156201
fit12;2;120.966239929;0.280002564;oel;578;0.67;0.005911496
fit12;2;122.22594070400001;0.21447289;oel;810;0.64;0.002570287
fit12;2;125.123638153;0.194653928;oel;1558;0.69;0.002441579
fit12;2;125.575649261;0.350310266;oel;1582;0.65;0.013493947
fit12;2;126.007041931;0.405486643;oel;2905;0.64;0.020176196
fit12;2;126.173313141;0.257318646;oel;2875;0.65;0.004497606
fit12;2;126.53665542600001;0.465909779;oel;2932;0.65;0.032256328
fit12;2;126.660552979;0.225684687;oel;2902;0.67;0.002184581
fit12;2;127.592815399;0.399229616;oel;1182;0.63;0.017220834
fit12;2;128.076503754;0.318711549;oel;297;0.65;0.007839028
fit12;2;128.34348297100001;0.219320744;oel;1210;0.66;0.002313433
fit12;2;128.705410004;0.345098913;oel;1220;0.63;0.005525935
fit12;2;130.07458877599998;0.235215783;oel;104;0.65;0.003855523
fit12;2;131.064903259;0.409976363;oel;1642;0.54;0.005525791
fit12;2;132.172786713;0.281667292;oel;1964;0.68;0.005654379
fit12;2;132.410514832;0.244373128;oel;3569;0.62;0.003469991
fit12;2;132.579242706;0.299657136;oel;3661;0.64;0.006682372
fit12;2;132.810722351;0.209482267;oel;221;0.66;0.002313368
fit12;2;134.05102157599998;0.315256983;oel;1408;0.65;0.007967831
fit12;2;137.044540405;0.249108687;oel;1280;0.68;0.004883583
fit12;2;137.094623566;0.219104901;oel;1431;0.68;0.002698835
fit12;2;137.251796722;0.226655349;oel;1345;0.66;0.002441843
fit12;2;137.640392303;0.573158264;oel;1784;0.49;0.008482014
fit12;2;137.64282608;0.284470469;oel;1487;0.66;0.005525943
fit12;2;137.7395401;0.23125799;oel;1783;0.68;0.002827116
fit12;2;137.807098389;0.370841414;oel;1243;0.53;0.003855339
fit12;2;137.860054016;0.476073056;oel;1865;0.55;0.011822931
fit12;2;137.976436615;0.211738199;oel;1488;0.61;0.002056078
fit12;2;138.03896331800001;0.326089859;oel;1271;0.66;0.009895666
fit12;2;138.085914612;0.388005346;oel;1382;0.65;0.014007987
fit12;2;138.226081848;0.242139354;oel;1846;0.67;0.003726828
fit12;2;138.356323242;0.243072435;oel;1788;0.67;0.004755096
fit12;2;138.399555206;0.35816735;oel;1773;0.66;0.012722882
fit12;2;138.445236206;0.225683838;oel;1880;0.66;0.002570368
fit12;2;138.483184814;0.193818837;oel;2847;0.67;0.00205607
fit12;2;138.720352173;0.459485263;oel;3218;0.64;0.022360647
fit12;2;138.73238754300002;0.257316023;oel;3195;0.68;0.003341114
fit12;2;138.849494934;0.402839363;oel;3078;0.54;0.007710845
fit12;2;138.94152832;0.231250912;oel;3220;0.65;0.003084261
fit12;2;139.026290894;0.279995382;oel;1554;0.64;0.003598519
fit12;2;139.111114502;0.3327474;oel;2115;0.68;0.010409184
fit12;2;139.13835907;0.20807378;oel;2205;0.7;0.002184562
fit12;2;139.139839172;0.229425535;oel;2986;0.61;0.002570273
fit12;2;139.191043854;0.249699444;oel;3538;0.67;0.004369617
fit12;2;139.202316284;0.380993545;oel;3207;0.51;0.005011875
fit12;2;139.224960327;0.703086138;oel;3164;0.54;0.039195582
fit12;2;139.30246734600001;0.236025989;oel;1675;0.63;0.003084385
fit12;2;139.404819489;0.334742755;oel;1620;0.67;0.012336771
fit12;2;139.410434723;0.524434626;oel;3102;0.62;0.034955211
fit12;2;139.595077515;0.225681275;oel;3514;0.65;0.002827064
fit12;2;139.648712158;0.241175294;oel;2120;0.63;0.003983615
fit12;2;139.65852356;0.225186393;oel;3213;0.69;0.003084424
fit12;2;139.78879547100001;0.21410194;oel;3343;0.66;0.002570075
fit12;2;139.875816345;0.382776856;oel;3177;0.64;0.014007844
fit12;2;139.91961669900002;0.214113906;oel;2288;0.61;0.002570054
fit12;2;139.992210388;0.22702308;oel;3580;0.68;0.002827371
fit12;2;139.998428345;1.185560703;oel;3084;0.5;0.228363693
fit12;3;0.3028411869999985;0.191763923;oel;2732;0.72;0.00231305
fit12;3;0.5349960329999988;0.507154524;oel;2309;0.57;0.014136407
fit12;3;0.9224853520000025;0.28050378;oel;2302;0.54;0.00269883
fit12;3;1.5304450989999978;0.21119754;oel;2590;0.66;0.002313044
fit12;3;1.844924927000001;0.27743426;oel;1389;0.67;0.005525682
fit12;3;2.7428054809999978;0.333694607;oel;1449;0.69;0.011309183
fit12;3;2.9773979189999977;0.260999829;oel;1737;0.59;0.003469657
fit12;3;3.1285972599999994;0.242035136;oel;1453;0.63;0.003726782
fit12;3;3.2184104919999967;0.191766202;oel;2648;0.7;0.002056356
fit12;3;6.374687195;0.201854706;oel;2364;0.66;0.002313378
fit12;3;17.128139496000003;0.222183719;oel;2834;0.64;0.002313151
fit12;3;79.489080429;0.270000875;oel;1754;0.65;0.005783084
fit12;3;119.015129089;0.211749986;oel;2600;0.68;0.002698729
fit12;3;121.141742706;0.214471936;oel;1164;0.64;0.002056238
fit12;3;123.106006622;0.384954929;oel;3526;0.66;0.017605957
fit12;3;125.10610199;0.244867161;oel;3337;0.67;0.004240847
